arabic_text,translation,transliteration,etymology
ءَاتَىٰهُمُ,bestowed them,ātāhumu,
ءَاتَىٰهُمُ,(has) given them,ātāhumu,
ءَاتَىٰهُمُ,gave them,ātāhumu,
ءَاتَىٰهُمُ,Allah gave them,ātāhumu,
ءَاتَىٰهُمْ,their Lord has given them,ātāhum,
ءَاتَىٰهُمْ,has given them,ātāhum,
ءَاتَيْتَ,have given,ātayta,
ءَاتَيْتَ,you have given,ātayta,
ءَاتَيْتَنَا,You give us,ātaytanā,
ءَاتَيْتَنِى,you have given me,ātaytanī,
ءَاتَيْتَهُنَّ,you have given them ,ātaytahunna,
ءَاتَيْتُكَ,I have given you,ātaytuka,
ءَاتَيْتُكُم,I (have) given you,ātaytukum,
ءَاتَيْتُم,you give,ātaytum,
ءَاتَيْتُمُوهُنَّ,you have given them,ātaytumūhunna,
ءَاتَيْنَا,We gave,ātaynā,
ءَاتَيْنَا,We had given,ātaynā,
ءَاتَيْنَآ,We gave,ātaynā,
ءَاتَيْنَـٰكَ,We have given you,ātaynāka,
ءَاتَيْنَـٰكُم,We have given you,ātaynākum,
ءَاتَيْنَـٰكُم,We gave you,ātaynākum,
ءَاتَيْنَـٰهَآ,We gave it,ātaynāhā,
ءَاتَيْنَـٰهُ,We gave [him],ātaynāhu,
ءَاتَيْنَـٰهُ,We gave him,ātaynāhu,
ءَاتَيْنَـٰهُ,whom We had given,ātaynāhu,
ءَاتَيْنَـٰهُ,We bestowed upon him,ātaynāhu,
ءَاتَيْنَـٰهُم,We gave them,ātaynāhum,
ءَاتَيْنَـٰهُم,We (had) given them,ātaynāhum,
ءَاتَيْنَـٰهُمُ,We have given them,ātaynāhumu,
ءَاتَيْنَـٰهُمُ,We gave [them],ātaynāhumu,
ءَاتَيْنَـٰهُمُ,We gave them,ātaynāhumu,
ءَاتَيْنَـٰهُمْ,We have given them,ātaynāhum,
ءَاتَيْنَـٰهُمْ,We (had) given them,ātaynāhum,
ءَاتَيْنَـٰهُمْ,have We given them,ātaynāhum,
ءَاتَيْنَـٰهُمْ ۚ,We have given them,ātaynāhum,
ءَاتَيْنَـٰهُمْ ۚ,We have granted them,ātaynāhum,
ءَاتُونِى,Bring me,ātūnī,
ءَاتُونِىٓ,Bring me,ātūnī,
ءَاتِنَا,Grant us,ātinā,
ءَاتِنَا,Bring us,ātinā,
ءَاتِهِمْ,Give them,ātihim,
ءَاتِى,(will) come,ātī,
ءَاتِيكَ,will bring it to you,ātīka,
ءَاتِيكُم,bring you,ātīkum,
ءَاتِيكُم,I will bring you,ātīkum,
ءَاتِيكُم,[I] have come to you,ātīkum,
ءَاتِيهِ,(will) come (to) Him,ātīhi,
ءَاتِيهِمْ,(will) come (for) them,ātīhim,
ءَاتِيَةٌ,(will be) coming,ātiyatun,
ءَاتِيَةٌۭ,will come,ātiyatun,
ءَاثَارِهِمَا,their footprints,āthārihimā,
ءَاثَرَكَ,Allah has preferred you,ātharaka,
ءَاثَـٰرِ,(the) effects,āthāri,
ءَاثَـٰرِهِم,their footsteps,āthārihim,
ءَاثَـٰرِهِمْ,their footsteps,āthārihim,
ءَاثِمًا,any sinner,āthiman,
ءَاثِمٌۭ,(is) sinful ,āthimun,
ءَاخَرَ,another,ākhara,
ءَاخَرَ,other,ākhara,
ءَاخَرَ ۖ,another,ākhara,
ءَاخَرَ ۘ,other,ākhara,
ءَاخَرَ ۚ,another,ākhara,
ءَاخَرَانِ,two others,ākharāni,
ءَاخَرُونَ ۖ,other,ākharūna,
ءَاخَرِينَ,others,ākharīna,
ءَاخَرِينَ,other,ākharīna,
ءَاخَرِينَ,another people,ākharīna,
ءَاخَرِينَ,another,ākharīna,
ءَاخِذٌۢ,has grasp,ākhidhun,
ءَاخِذِينَ,Taking,ākhidhīna,
ءَاخِرَهُۥ,(at) its end,ākhirahu,
ءَادَمَ,Adam,ādama,
ءَادَمَ,(of) Adam,ādama,
ءَادَمَ,(of) Adam ,ādama,
ءَادَمَ,(the) children of Adam,ādama,
ءَادَمَ,O Children of Adam,ādama,
ءَادَمَ ۖ,(of) Adam,ādama,
ءَادَمُ,Adam,ādamu,
ءَادَمُ,And Adam disobeyed,ādamu,
ءَاذَانٌۭ,(are) ears,ādhānun,
ءَاذَانٌۭ,ears,ādhānun,
ءَاذَانَ,(the) ears,ādhāna,
ءَاذَانِنَا,our ears,ādhāninā,
ءَاذَانِهِم,their ears,ādhānihim,
ءَاذَانِهِمْ,their ears,ādhānihim,
ءَاذَنتُكُمْ,I (have) announced to you,ādhantukum,
ءَاذَنَ,I give permission,ādhana,
ءَاذَنَ,I gave permission,ādhana,
ءَاذَنَّـٰكَ,We announce (to) You,ādhannāka,
ءَاذَوْا۟,abused,ādhaw,
ءَاذَيْتُمُونَا ۚ,harm you may cause us,ādhaytumūnā,
ءَازَرَ,Azar,āzara,
ءَاسَفُونَا,they angered Us,āsafūnā,
ءَاسَىٰ,I grieve,āsā,
ءَاسِنٍۢ,polluted,āsinin,
ءَالَ,(the) people,āla,
ءَالَ,(the) family,āla,
ءَالَ,the family,āla,
ءَالَ,(to the) family,āla,
ءَالَ,O family,āla,
ءَالَ,(to the) people,āla,
ءَالَآءَ,(the) Bounties,ālāa,
ءَالَآءِ,the Favors,ālāi,
ءَالَآءِ,(of the) favors,ālāi,
ءَالَـٰفٍۢ,thousand[s],ālāfin,
ءَالُ,(by the) family,ālu,
ءَالُ,(the) family,ālu,
ءَالِ,(the) people,āli,
ءَالِ,(of the) people,āli,
ءَالِ,(of) people,āli,
ءَالِ,(the) family,āli,
ءَالِهَةً,(there are) gods,ālihatan,
ءَالِهَةً,gods,ālihatan,
ءَالِهَةً ۖ,(as) gods,ālihatan,
ءَالِهَةًۢ ۖ,gods as a way of approach,ālihatan,
ءَالِهَةًۭ,gods,ālihatan,
ءَالِهَةًۭ ۖ,gods,ālihatan,
ءَالِهَةٌ,gods,ālihatun,
ءَالِهَةٌۭ,gods,ālihatun,
ءَالِهَةٌۭ ۚ,gods,ālihatun,
ءَالِهَتَكُمْ,your gods,ālihatakum,
ءَالِهَتُهُمُ,their gods,ālihatuhumu,
ءَالِهَتِكُمْ ۖ,your gods,ālihatikum,
ءَالِهَتِنَا,our gods,ālihatinā,
ءَالِهَتِنَا,(of) our gods,ālihatinā,
ءَالِهَتِهِمْ,their gods,ālihatihim,
ءَالِهَتِى,my gods,ālihatī,
ءَامَنتُ,I believe,āmantu,
ءَامَنتُ,[I] have believed,āmantu,
ءَامَنتُم,you have believed,āmantum,
ءَامَنتُم,you believe,āmantum,
ءَامَنتُم,You believed,āmantum,
ءَامَنتُم,believe,āmantum,
ءَامَنتُم,you (will) believe,āmantum,
ءَامَنتُم,believed,āmantum,
ءَامَنتُمْ,You believe,āmantum,
ءَامَنتُمْ,You believed,āmantum,
ءَامَنَ,believed,āmana,
ءَامَنَ,believes,āmana,
ءَامَنَ,Believed,āmana,
ءَامَنَ,believe[d],āmana,
ءَامَنَ,believe,āmana,
ءَامَنَ ۚ,believed,āmana,
ءَامَنَتْ,believed,āmanat,
ءَامَنَتْ,in Whom believe,āmanat,
ءَامَنَتْ,that believed,āmanat,
ءَامَنُكُمْ,I entrust you,āmanukum,
ءَامَنُوا۟,believe[d],āmanū,
ءَامَنُوا۟,believe,āmanū,
ءَامَنُوا۟,believed,āmanū,
ءَامَنُوا۟,(had) believed,āmanū,
ءَامَنُوا۟,they believe[d],āmanū,
ءَامَنُوا۟,they believed,āmanū,
ءَامَنُوا۟,(again) believed,āmanū,
ءَامَنُوا۟,(who has) believed,āmanū,
ءَامَنُوا۟,(have) believed,āmanū,
ءَامَنُوا۟,O you who believe,āmanū,
ءَامَنُوا۟,who believed,āmanū,
ءَامَنُوا۟,have believed,āmanū,
ءَامَنُوا۟,who believe,āmanū,
ءَامَنُوا۟,believed ,āmanū,
ءَامَنُوا۟ ۗ,believe[d],āmanū,
ءَامَنُوا۟ ۘ,believe[d],āmanū,
ءَامَنُوا۟ ۚ,believed,āmanū,
ءَامَنُوا۟ ۚ,believe,āmanū,
ءَامَنُوا۟ ۚ,who believe,āmanū,
ءَامَنُوا۟ ۚ,have believed,āmanū,
ءَامَنُوٓا۟,believe[d],āmanū,
ءَامَنُوٓا۟,believe,āmanū,
ءَامَنُوٓا۟,O you who believe,āmanū,
ءَامَنُوٓا۟,believed,āmanū,
ءَامَنُوٓا۟ ۗ,believe,āmanū,
ءَامَنُوٓا۟ ۚ,believed,āmanū,
ءَامَنَّا,We believed,āmannā,
ءَامَنَّا,We believe[d],āmannā,
ءَامَنَّا,We have believed,āmannā,
ءَامَنَّا,We believe,āmannā,
ءَامَنَّا,(have) believed,āmannā,
ءَامَنَّا,we believe[d],āmannā,
ءَامَنَّا,we believe,āmannā,
ءَامَنَّا,we have believed,āmannā,
ءَامَنَّا,we believed,āmannā,
ءَامَنَّا ۖ,We believe,āmannā,
ءَامُرُهُۥ,I order him,āmuruhu,
ءَامِنًۭا,secure,āminan,
ءَامِنًۭا,safe,āminan,
ءَامِنًۭا ۗ,safe,āminan,
ءَامِنَةًۭ,secure,āminatan,
ءَامِنُوا۟,Believe,āminū,
ءَامِنُوا۟,believe,āminū,
ءَامِنُونَ,(will be) safe,āminūna,
ءَامِنُونَ,secure,āminūna,
ءَامِنِينَ,safe,āminīna,
ءَامِنِينَ,secure,āminīna,
ءَامِنِينَ,safely,āminīna,
ءَامِنْ,Believe,āmin,
ءَانٍۢ,heated,ānin,
ءَانَآءَ,(in the) hours,ānāa,
ءَانَآءَ,(during) hours,ānāa,
ءَانَآئِ,(the) hours,ānāi,
ءَانَسَ,he saw,ānasa,
ءَانَسْتُ,[I] perceived,ānastu,
ءَانَسْتُ,perceive,ānastu,
ءَانَسْتُ,[I] perceive,ānastu,
ءَانَسْتُم,you perceive,ānastum,
ءَانِفًا ۚ,just now,ānifan,
ءَانِيَةٍۢ,boiling,āniyatin,
ءَاوَوا۟,gave shelter,āwaw,
ءَاوَىٰٓ,he took,āwā,
ءَاوِىٓ,I could take refuge,āwī,
ءَايَاتُنَا,Our Verses,āyātunā,
ءَايَاتِنَا ۚ,Our Verses,āyātinā,
ءَايَةً,(as) a sign,āyatan,
ءَايَةً,a sign,āyatan,
ءَايَةًۢ,a sign,āyatan,
ءَايَةًۭ,a sign,āyatan,
ءَايَةًۭ,a Sign,āyatan,
ءَايَةًۭ,a Verse,āyatan,
ءَايَةًۭ,(as) a Sign,āyatan,
ءَايَةًۭ ۖ,a sign,āyatan,
ءَايَةًۭ ۖ,a Sign,āyatan,
ءَايَةًۭ ۚ,a sign,āyatan,
ءَايَةٌۭ,a sign,āyatun,
ءَايَةٌۭ,a Sign,āyatun,
ءَايَةٌۭ ۖ,a sign:,āyatun,
ءَايَةٌۭ ۗ,a sign,āyatun,
ءَايَةٍ,a sign,āyatin,
ءَايَةٍ,Sign,āyatin,
ءَايَةٍ,a Sign,āyatin,
ءَايَةٍۢ,(the) signs,āyatin,
ءَايَةٍۢ,any sign,āyatin,
ءَايَةٍۢ,sign,āyatin,
ءَايَةٍۢ,(the) sign,āyatin,
ءَايَةٍۢ,a Sign,āyatin,
ءَايَةٍۢ ۙ,(of) a Verse,āyatin,
ءَايَةٍۭ,(the) Sign(s),āyatin,
ءَايَةَ,a sign,āyata,
ءَايَةَ,(the) sign,āyata,
ءَايَتَيْنِ ۖ,(as) two signs,āyatayni,
ءَايَتُكَ,your sign,āyatuka,
ءَايَتُكَ,Your sign,āyatuka,
ءَايَـٰتٌۢ,(are) signs,āyātun,
ءَايَـٰتٌۢ,(is) Verses,āyātun,
ءَايَـٰتٌۭ,(are) Verses,āyātun,
ءَايَـٰتٌۭ,signs,āyātun,
ءَايَـٰتٌۭ,(the) Signs,āyātun,
ءَايَـٰتٌۭ,(are) Signs,āyātun,
ءَايَـٰتٌۭ,(are) signs,āyātun,
ءَايَـٰتٍ,signs,āyātin,
ءَايَـٰتٍۢ,(as) signs,āyātin,
ءَايَـٰتٍۢ,Verses,āyātin,
ءَايَـٰتٍۭ,Verses,āyātin,
ءَايَـٰتٍۭ,Signs,āyātin,
ءَايَـٰتٍۭ,(as) clear Verses,āyātin,
ءَايَـٰتُ,(are the) Verses,āyātu,
ءَايَـٰتُ,(the) Verses,āyātu,
ءَايَـٰتُ,(are the) verses,āyātu,
ءَايَـٰتُ,(are) the Verses,āyātu,
ءَايَـٰتُ,(are) Verses,āyātu,
ءَايَـٰتُنَا,Our Verses,āyātunā,
ءَايَـٰتُنَا,Our Signs,āyātunā,
ءَايَـٰتُهُۥ,His Verses,āyātuhu,
ءَايَـٰتُهُۥ,its Verses,āyātuhu,
ءَايَـٰتُهُۥٓ ۖ,its verses,āyātuhu,
ءَايَـٰتِ,(the) Verses,āyāti,
ءَايَـٰتِ,(the) Signs,āyāti,
ءَايَـٰتِ,(of the) Signs,āyāti,
ءَايَـٰتِكَ,Your Verses,āyātika,
ءَايَـٰتِكَ,Your signs,āyātika,
ءَايَـٰتِنَا,Our verses,āyātinā,
ءَايَـٰتِنَا,Our Verses,āyātinā,
ءَايَـٰتِنَا,Our Signs,āyātinā,
ءَايَـٰتِنَا ۗ,Our Verses,āyātinā,
ءَايَـٰتِنَا ۚ,Our Verses,āyātinā,
ءَايَـٰتِنَآ ۚ,Our Signs,āyātinā,
ءَايَـٰتِهَا,its Signs,āyātihā,
ءَايَـٰتِهِ,His Signs,āyātihi,
ءَايَـٰتِهِۦ,His Signs,āyātihi,
ءَايَـٰتِهِۦ,His verses,āyātihi,
ءَايَـٰتِهِۦ,His Verses,āyātihi,
ءَايَـٰتِهِۦ,(over) its Verses,āyātihi,
ءَايَـٰتِهِۦ ۗ,His Verses,āyātihi,
ءَايَـٰتِهِۦٓ,His Signs,āyātihi,
ءَايَـٰتِهِۦٓ ۚ,His Signs,āyātihi,
ءَايَـٰتِى,My Verses,āyātī,
ءَايَـٰتِى,My Signs,āyātī,
ءَايَـٰتِى ۙ,My Verses,āyātī,
ءَايَـٰتِىَ,My Signs,āyātiya,
ءَآلذَّكَرَيْنِ,(Are) the two males,āldhakarayni,
ءَآلذَّكَرَيْنِ,(Is it) the two males,āldhakarayni,
ءَآللَّهُ,Has Allah,āllahu,
ءَآللَّهُ,Is Allah,āllahu,
ءَآلْـَٔـٰنَ,Now,āl'āna,
ءَآمِّينَ,(those) coming,āmmīna,
ءَا۬عْجَمِىٌّۭ,(Is it) a foreign (language),āʿ'jamiyyun,
أَءُلْقِىَ,Has been sent,a-ul'qiya,
أَءُنزِلَ,Has been revealed,a-unzila,
أَءِذَا,When,a-idhā,
أَءِذَا,Is it when,a-idhā,
أَءِذَا,What! When,a-idhā,
أَءِذَا,"What, when",a-idhā,
أَءِذَا,Is (it) when,a-idhā,
أَءِلَـٰهٌۭ,Is there any god,a-ilāhun,
أَءِنَّا,will we,a-innā,
أَءِنَّا,would we,a-innā,
أَءِنَّا,shall we then,a-innā,
أَءِنَّا,Will we,a-innā,
أَءِنَّكَ,Are you indeed,a-innaka,
أَؤُنَبِّئُكُم,Shall I inform you,a-unabbi-ukum,
أَئِذَا,When,a-idhā,
أَئِفْكًا,Is it falsehood ,a-if'kan,
أَئِمَّةًۭ,leaders,a-immatan,
أَئِمَّةَ,the leaders,a-immata,
أَئِن,Is it because,a-in,
أَئِنَّ,Is there,a-inna,
أَئِنَّا,will we,a-innā,
أَئِنَّا,Are we,a-innā,
أَئِنَّكُمْ,Do you truly,a-innakum,
أَئِنَّكُمْ,Why do you,a-innakum,
أَئِنَّكُمْ,"Indeed, you",a-innakum,
أَئِنَّكُمْ,Do you indeed,a-innakum,
أَبًۭا,a father,aban,
أَبَابِيلَ,(in) flocks,abābīla,
أَبَاكُمْ,your father,abākum,
أَبَانَا,our father,abānā,
أَبَاهُ,(from) his father,abāhu,
أَبَاهُمْ,(to) their father,abāhum,
أَبَآ,(the) father,abā,
أَبَدًا,ever,abadan,
أَبَدًا,forever,abadan,
أَبَدًا ۚ,forever,abadan,
أَبَدًا ۚ,ever,abadan,
أَبَدًۢا,ever,abadan,
أَبَدًۭا,ever,abadan,
أَبَدًۭا,forever,abadan,
أَبَدًۭا ۖ,forever,abadan,
أَبَدًۭا ۚ,forever,abadan,
أَبَدًۭا ۚ,ever,abadan,
أَبَشَرًۭا,Is (it) a human being,abasharan,
أَبَشَرٌۭ,Shall human beings,abasharun,
أَبَشَّرْتُمُونِى,Do you give me glad tidings,abashartumūnī,
أَبَعَثَ,Has Allah sent,abaʿatha,
أَبَقَ,he ran away,abaqa,
أَبَوَاهُ,his parents,abawāhu,
أَبَوَاهُ,his parents were,abawāhu,
أَبَوَيْكَ,your two forefathers,abawayka,
أَبَوَيْكُم,your parents,abawaykum,
أَبَوَيْهِ,his parents,abawayhi,
أَبَىٰ,He refused,abā,
أَبَىٰ,he refused,abā,
أَبَىٰٓ,He refused,abā,
أَبُوكِ,your father,abūki,
أَبُوهُم,their father,abūhum,
أَبُوهُمَا,their father,abūhumā,
أَبُوهُمْ,their father said,abūhum,
أَبِى,(of) my father,abī,
أَبِى,my father,abī,
أَبِى,(of) Abu,abī,
أَبِىٓ,my father,abī,
أَبِيكُمْ,(of) your father,abīkum,
أَبِيكُمْ,your father,abīkum,
أَبِيكُمْ ۚ,your father,abīkum,
أَبِينَا,our father,abīnā,
أَبِيهِمْ,their father,abīhim,
أَبِٱللَّهِ,Is it Allah,abil-lahi,
أَبْتَغِى,I seek,abtaghī,
أَبْحُرٍۢ,seas,abḥurin,
أَبْرَحَ,will I leave,abraḥa,
أَبْرَحُ,I will cease,abraḥu,
أَبْرَمُوٓا۟,have they determined,abramū,
أَبْصَرَ,sees,abṣara,
أَبْصَرْنَا,we have seen,abṣarnā,
أَبْصَـٰرَهُمْ,their vision,abṣārahum,
أَبْصَـٰرَهُمْ ۖ,their sight,abṣārahum,
أَبْصَـٰرُ,(the) eyes,abṣāru,
أَبْصَـٰرُكُمْ,your sight,abṣārukum,
أَبْصَـٰرُنَا,our eyes,abṣārunā,
أَبْصَـٰرُهَا,Their eyes,abṣāruhā,
أَبْصَـٰرُهُمْ,their eyes,abṣāruhum,
أَبْصَـٰرُهُمْ,their vision,abṣāruhum,
أَبْصَـٰرُهُمْ,their eyesights,abṣāruhum,
أَبْصَـٰرِهِمْ,their vision,abṣārihim,
أَبْصَـٰرِهِمْ,their gaze,abṣārihim,
أَبْصَـٰرِهِنَّ,their gaze,abṣārihinna,
أَبْصِرْ,How clearly He sees,abṣir,
أَبْغِى,I (should) seek,abghī,
أَبْغِيكُمْ,I seek for you,abghīkum,
أَبْقَىٰ,He spared,abqā,
أَبْكَارًا,virgins,abkāran,
أَبْكَمُ,(is) dumb,abkamu,
أَبْلَغُوا۟,they have conveyed,ablaghū,
أَبْلَغْتُكُم,I have conveyed to you,ablaghtukum,
أَبْلَغْتُكُمْ,I have conveyed to you,ablaghtukum,
أَبْلَغْتُكُمْ,I (have) conveyed to you,ablaghtukum,
أَبْلُغَ,I reach,ablugha,
أَبْلُغُ,reach,ablughu,
أَبْلِغْهُ,escort him,abligh'hu,
أَبْنَآءَ,(the) sons,abnāa,
أَبْنَآءَكُمْ,your sons,abnāakum,
أَبْنَآءَكُمْ ۚ,your sons,abnāakum,
أَبْنَآءَنَا,our sons,abnāanā,
أَبْنَآءَهُمُ ۘ,their sons,abnāahumu,
أَبْنَآءَهُمْ,their sons,abnāahum,
أَبْنَآءَهُمْ ۖ,their sons,abnāahum,
أَبْنَآءِ,sons,abnāi,
أَبْنَآئِكُمُ,(of) your sons,abnāikumu,
أَبْنَآئِهِنَّ,their sons,abnāihinna,
أَبْنَـٰٓؤُا۟,(the) children,abnāu,
أَبْوَٰبًۭا,doors,abwāban,
أَبْوَٰبًۭا,gateways,abwāban,
أَبْوَٰبٍۢ,gates,abwābin,
أَبْوَٰبَ,gates,abwāba,
أَبْوَٰبَ,(the) gates,abwāba,
أَبْوَٰبُ,(the) doors,abwābu,
أَبْوَٰبُهَا,its gates,abwābuhā,
أَبْوَٰبِهَا ۚ,their doors,abwābihā,
أَتَأْتُونَ,Do you commit,atatūna,
أَتَأْتُونَ,Do you approach,atatūna,
أَتَأْخُذُونَهُۥ,Would you take it,atakhudhūnahu,
أَتَبْنُونَ,Do you construct,atabnūna,
أَتَتَّخِذُ,Do you take,atattakhidhu,
أَتَتَّخِذُنَا,Do you take us,atattakhidhunā,
أَتَتْ,it came,atat,
أَتَتْكَ,came to you,atatka,
أَتَتْكُمُ,(there) came to you,atatkumu,
أَتَتْهُمْ,Came to them,atathum,
أَتَجْعَلُ,Will You place,atajʿalu,
أَتَخْشَوْنَهُمْ ۚ,Do you fear them,atakhshawnahum,
أَتَدْعُونَ,Do you call,atadʿūna,
أَتَذَرُ,Will you leave,atadharu,
أَتَسْتَبْدِلُونَ,Would you exchange,atastabdilūna,
أَتَصْبِرُونَ ۗ,will you have patience,ataṣbirūna,
أَتَعِدَانِنِىٓ,Do you promise me,ataʿidāninī,
أَتَعْبُدُونَ,Do you worship,ataʿbudūna,
أَتَعْجَبِينَ,Are you amazed,ataʿjabīna,
أَتَعْلَمُونَ,Do you know,ataʿlamūna,
أَتَقُولُونَ,Do you say,ataqūlūna,
أَتَقْتُلُونَ,Will you kill,ataqtulūna,
أَتَمَّهَا,He completed it,atammahā,
أَتَنْهَىٰنَآ,Do you forbid us,atanhānā,
أَتَهْتَدِىٓ,whether she will be guided,atahtadī,
أَتَوا۟,(they have) brought,ataw,
أَتَوَاصَوْا۟,Have they transmitted it to them,atawāṣaw,
أَتَوَكَّؤُا۟,I lean,atawakka-u,
أَتَوْا۟,they have come,ataw,
أَتَوْا۟,they came,ataw,
أَتَوْكَ,they came to you,atawka,
أَتَوْهُ,(will) come to Him,atawhu,
أَتَى,comes,atā,
أَتَى,came,atā,
أَتَىٰ,came,atā,
أَتَىٰ,he comes,atā,
أَتَىٰ,(there) come,atā,
أَتَىٰكَ,come to you,atāka,
أَتَىٰكَ,reached you,atāka,
أَتَىٰكَ,(there) come to you,atāka,
أَتَىٰكُمْ,(there) came to you,atākum,
أَتَىٰكُمْ,comes to you,atākum,
أَتَىٰنَا,came to us,atānā,
أَتَىٰهَا,he came to it,atāhā,
أَتَىٰهَا,he came (to) it,atāhā,
أَتَىٰهَآ,comes (to) it,atāhā,
أَتَىٰهُم,(had) come to them,atāhum,
أَتَىٰهُم,has come to them,atāhum,
أَتَىٰهُمْ,came to them,atāhum,
أَتَىٰهُمْ ۖ,(having) come to them,atāhum,
أَتَىٰهُمْ ۙ,(which) came to them,atāhum,
أَتَىٰٓ,Will come,atā,
أَتَيَآ,they came,atayā,
أَتَيْتَ,you come,atayta,
أَتَيْنَ,they commit,atayna,
أَتَيْنَا,We will bring,ataynā,
أَتَيْنَا,We come,ataynā,
أَتَيْنَـٰهُم,We have brought them,ataynāhum,
أَتَيْنَـٰهُم,We (have) brought them,ataynāhum,
أَتُتْرَكُونَ,Will you be left,atut'rakūna,
أَتُجَـٰدِلُونَنِى,Do you dispute with me,atujādilūnanī,
أَتُحَآجُّونَنَا,Do you argue with us,atuḥājjūnanā,
أَتُحَدِّثُونَهُم,Do you tell them,atuḥaddithūnahum,
أَتُحَـٰٓجُّوٓنِّى,Do you argue with me,atuḥājjūnnī,
أَتُرِيدُ,Do you intend,aturīdu,
أَتُرِيدُونَ,Do you wish,aturīdūna,
أَتُعَلِّمُونَ,Will you acquaint,atuʿallimūna,
أَتُمِدُّونَنِ,Will you provide me,atumiddūnani,
أَتُنَبِّـُٔونَ,Do you inform,atunabbiūna,
أَتُهْلِكُنَا,Would You destroy us,atuh'likunā,
أَتُوبُ,I will accept repentance,atūbu,
أَتِمُّوا۟,complete,atimmū,
أَتَّبِعُ,(do) I follow,attabiʿu,
أَتَّبِعُ,I follow,attabiʿu,
أَتَّبِعُكَ,I follow you,attabiʿuka,
أَتَّبِعْهُ,that I may follow it,attabiʿ'hu,
أَتَّخَذْتُمْ,Have you taken,attakhadhtum,
أَتَّخَذْنَـٰهُمْ,Did we take them,attakhadhnāhum,
أَتَّخِذُ,I (should) take,attakhidhu,
أَتَّخِذْ,I had taken,attakhidh,
أَتْبَعَ,he followed,atbaʿa,
